,Text,Text_unigram,Text_tfidf,word_count,unigram_count,unique_word_count,unique_unigram_count,stopword_count,mean_word_length,mean_unigram_length,char_count,punctuation_count,number_count,Sentiment
13,"user an error on Morn data.its not updated. shares outstanding equals 41 million , not 21million. mkt cap 3.4 bil not 1.8 bil","['user', 'error', 'on', 'morn', 'data.its', 'not', 'updated', '.', 'share', 'outstanding', 'equal', '41', 'million', ',', 'not', '21million', '.', 'mkt', 'cap', '3.4', 'bil', 'not', '1.8', 'bil']","  (0, 269)	0.35079513861230344
  (0, 710)	0.3566014791560171
  (0, 363)	0.3287206332640509
  (0, 704)	0.2962664827987604
  (0, 983)	0.2545817793900366
  (0, 58)	0.3160027667894937
  (0, 766)	0.5828128704121993
  (0, 1133)	0.1709130635293696
  (0, 783)	0.14281219838352338",23,24,20,20,5,4.478260869565218,4.125,125,6,1,-1
14,SCHW -core long holding up well - possible falling wedge?  not sure but adding some back 17.65 area  ,"['schw', '-', 'core', 'long', 'holding', 'well', '-', 'possible', 'falling', 'wedge', '?', 'not', 'sure', 'adding', 'back', '17.65', 'area']","  (0, 451)	0.30230162035428454
  (0, 1175)	0.3301778603798646
  (0, 866)	0.26837937873744777
  (0, 1057)	0.28803756735562114
  (0, 185)	0.28228130317391437
  (0, 571)	0.3341795214195721
  (0, 570)	0.23454415718400187
  (0, 659)	0.188195076088098
  (0, 145)	0.29829995931457703
  (0, 20)	0.2601613273300411
  (0, 766)	0.17114906348902637
  (0, 1183)	0.23802615066309746
  (0, 93)	0.2809481637505881
  (0, 199)	0.2031478321397333",18,17,18,16,4,4.5,4.235294117647059,101,4,0,1
15,PGNX  Over 3.04  ,"['pgnx', 'over', '3.04']","  (0, 5)	0.8742751266654512
  (0, 823)	0.485430739543871",3,3,3,3,1,4.0,4.0,17,1,0,1
16,"Foreign Investors Pull Out Rs 12,478 Crore From Stocks So Far In March, Set To Turn Net Sellers After 6 Months
https://t.co/Q9MOBwE8lc","['foreign', 'investor', 'pull', 'out', 'r', '12,478', 'crore', 'stock', 'far', 'march', ',', 'set', 'turn', 'net', 'seller', '6', 'month', 'https://t.co/q9mobwe8lc']","  (0, 344)	0.3023359820456323
  (0, 578)	0.14690972672373212
  (0, 577)	0.14670533615615347
  (0, 303)	0.14569653252194106
  (0, 603)	0.2597317881910224
  (0, 739)	0.2802892581162089
  (0, 685)	0.2604945295664115
  (0, 965)	0.3177453066201
  (0, 1121)	0.30425084224550103
  (0, 718)	0.2540390463828258
  (0, 1042)	0.1782769589866385
  (0, 452)	0.2865528900669424
  (0, 821)	0.18546339239058407
  (0, 889)	0.3023359820456323
  (0, 977)	0.2758184900389883
  (0, 14)	0.23777973141995307",22,18,22,18,6,5.136363636363637,5.166666666666667,134,7,1,-1
17,"India To Grow At 1.9% This Year, Global Growth To Shrink By 3%, Forecasts IMF
https://t.co/urepSnT2VY","['india', 'grow', '1.9', '%', 'year', ',', 'global', 'growth', 'shrink', '3', '%', ',', 'forecast', 'imf', 'https://t.co/urepsnt2vy']","  (0, 592)	0.5121280975000853
  (0, 578)	0.2472847677133912
  (0, 577)	0.24694072872323272
  (0, 303)	0.2452426670773639
  (0, 534)	0.4624951546420097
  (0, 510)	0.43847559090199595
  (0, 1213)	0.38637902927838413",16,15,15,13,5,5.375,4.866666666666666,101,10,0,-1
18,"Coronavirus Crisis: GoAir Decides To Reduce Pay Across Board
https://t.co/NF2zmMUHqd","['coronavirus', 'crisis', ':', 'goair', 'decides', 'reduce', 'pay', 'across', 'board', 'https://t.co/nf2zmmuhqd']","  (0, 322)	0.4984928227049557
  (0, 321)	0.3582003437154401
  (0, 578)	0.2505886705215688
  (0, 577)	0.25024003492242297
  (0, 341)	0.4669158527581152
  (0, 303)	0.24851928594853098
  (0, 835)	0.4669158527581152",10,10,10,10,1,7.5,7.3,84,6,0,-1
19,"COMPQ DJIA SPX COST YM SCA - Wall Street retreats candles. The Dow Jones dismisses the 14,400 points  ","['compq', 'djia', 'spx', 'cost', 'ym', 'sca', '-', 'wall', 'street', 'retreat', 'candle', '.', 'dow', 'jones', 'dismisses', '14,400', 'point']","  (0, 1161)	0.29965054611071346
  (0, 392)	0.3155815955600226
  (0, 1160)	0.29420916831453386
  (0, 57)	0.2925290444292226
  (0, 952)	0.33167277797767547
  (0, 1051)	0.258095918692895
  (0, 329)	0.2878268554444761
  (0, 17)	0.2676283142437515
  (0, 308)	0.3279749397461027
  (0, 267)	0.2849385202916963
  (0, 855)	0.21437646301970842
  (0, 1026)	0.2695944967217444",18,17,18,17,2,4.611111111111111,4.352941176470588,102,3,0,-1
20,"Government-Run Gold Bond Scheme To Fetch 2.5% Interest. Important Dates, How To Invest And Other Details
https://t.co/RsEcoxK54T","['government-run', 'gold', 'bond', 'scheme', 'fetch', '2.5', '%', 'interest', '.', 'important', 'date', ',', 'invest', 'detail', 'https://t.co/rsecoxk54t']","  (0, 578)	0.1732290084465776
  (0, 577)	0.17298800074649479
  (0, 525)	0.3411441661590101
  (0, 585)	0.40190970783094576
  (0, 303)	0.17179846716577724
  (0, 598)	0.3611122401726085
  (0, 519)	0.3482910194526958
  (0, 232)	0.3587582176933568
  (0, 601)	0.40190970783094576
  (0, 939)	0.301154175318233",17,15,16,15,5,6.588235294117647,6.333333333333333,128,10,0,1
21,"MIDD - ong  97.69. Trailing Stop  118.01 from 10 Stops of 115.61, 113.95, 110.38, 99.33, 95.82, ... 90.46 & 87.31  ","['midd', '-', 'ong', '97.69', '.', 'trailing', 'stop', '118.01', '10', 'stop', '115.61', ',', '113.95', ',', '110.38', ',', '99.33', ',', '95.82', ',', '...', '90.46', '&', '87.31']","  (0, 126)	0.23132013792811743
  (0, 90)	0.23337308122532713
  (0, 97)	0.23337308122532713
  (0, 47)	0.21964273782684018
  (0, 53)	0.2078479608542711
  (0, 2)	0.23555856165244435
  (0, 122)	0.4081630113089091
  (0, 45)	0.21826037472884277
  (0, 69)	0.21826037472884277
  (0, 115)	0.24040441320541073
  (0, 124)	0.23555856165244435
  (0, 11)	0.1558261544909497
  (0, 1108)	0.21097601646471556
  (0, 110)	0.2431149149006865
  (0, 1045)	0.2895412218926094
  (0, 1107)	0.21097601646471556
  (0, 118)	0.18696201673637577
  (0, 800)	0.1558261544909497",20,24,20,19,2,4.6,3.5416666666666665,115,20,1,1
22,"Allstate said it would dispatch more than $600 million in shelter-in-place payback checks, https://t.co/OF3AyFHVkI","['allstate', 'said', 'would', 'dispatch', '$', '600', 'million', 'shelter-in-place', 'payback', 'check', ',', 'https://t.co/of3ayfhvki']","  (0, 578)	0.19375025278395927
  (0, 577)	0.1934806945660103
  (0, 848)	0.43460204331928454
  (0, 943)	0.3939713538395563
  (0, 303)	0.19215024515672383
  (0, 704)	0.35109083412677894
  (0, 89)	0.42259087016863545
  (0, 289)	0.38542488855960233
  (0, 1200)	0.3059604841809525",14,12,14,12,4,7.214285714285714,7.333333333333333,114,9,0,1
23,"Green Weekly Triangle on DEPO,.....pdating   ","['green', 'weekly', 'triangle', 'on', 'depo', ',', '...', 'pdating']","  (0, 1182)	0.33320140070347887
  (0, 532)	0.361013367180863
  (0, 1114)	0.3054892237638986
  (0, 1181)	0.3307572226104669
  (0, 530)	0.3481547792364638
  (0, 839)	0.3739531519485309
  (0, 529)	0.307107978491128
  (0, 1113)	0.29042231942829166
  (0, 1178)	0.2952016925848617
  (0, 783)	0.17048456118869235",5,8,5,8,1,7.6,4.5,45,6,0,-1
24,YHOO Bullish Breakout confirmed on Expanding Volume  ,"['yhoo', 'bullish', 'breakout', 'confirmed', 'on', 'expanding', 'volume']","  (0, 311)	0.5704588865222031
  (0, 1218)	0.4854031596159435
  (0, 254)	0.38816373318045433
  (0, 245)	0.37639352229036666
  (0, 1152)	0.31522316472641027
  (0, 783)	0.21737437858183248",7,7,7,7,1,6.428571428571429,6.428571428571429,53,0,0,1
25,Absolutely Delicious CPB #Campbell's Soup SPX SPY #Fortune 500  ,"['absolutely', 'delicious', 'cpb', ""#campbell's"", 'soup', 'spx', 'spy', '#fortune', '500']","  (0, 1027)	0.5998649090633796
  (0, 75)	0.4765354904164401
  (0, 1028)	0.42543135573843405
  (0, 1026)	0.4817511585896853",9,9,9,9,0,6.0,6.0,64,3,1,1
26,PCN Just trying to keep it simple and potentially capture the primary trend.  ,"['pcn', 'trying', 'keep', 'simple', 'potentially', 'capture', 'primary', 'trend', '.']","  (0, 1119)	0.4983484702709302
  (0, 838)	0.5583999707185994
  (0, 618)	0.48400896106553687
  (0, 1110)	0.4534022502021252",13,9,13,9,5,4.923076923076923,5.555555555555555,78,1,0,1
27,"HZNP first step 3,5","['hznp', 'first', 'step', '3,5']","  (0, 1039)	0.7809431217127681
  (0, 477)	0.6246021458892984",4,4,4,4,0,4.0,4.0,19,1,0,1
28,"Sensex, Nifty Extend Losses To Second Day Amid Rising Coronavirus Cases
https://t.co/1Lk0ZkMhdS","['sensex', ',', 'nifty', 'extend', 'loss', 'second', 'day', 'amid', 'rising', 'coronavirus', 'case', 'https://t.co/1lk0zkmhds']","  (0, 970)	0.27945349730243885
  (0, 756)	0.25066703595873646
  (0, 968)	0.24644598213865224
  (0, 446)	0.3709150551497001
  (0, 167)	0.2614017054445837
  (0, 321)	0.22852364930873525
  (0, 578)	0.15986985626263317
  (0, 577)	0.1596474347022032
  (0, 303)	0.158549636104415
  (0, 271)	0.36647350134374446
  (0, 669)	0.28102425715471857
  (0, 935)	0.3332638248568867
  (0, 956)	0.3197008294435796
  (0, 364)	0.19357104824445684",12,12,12,12,1,7.0,6.583333333333333,95,6,0,-1
29,First trade coming back from vacation. HOT short at 59.80. Stop at 60.30,"['first', 'trade', 'coming', 'back', 'vacation', '.', 'hot', 'short', '59.80', '.', 'stop', '60.30']","  (0, 87)	0.39699042867641754
  (0, 574)	0.3678375310107507
  (0, 108)	0.32827951378926823
  (0, 88)	0.31330634447806593
  (0, 477)	0.30438364996457173
  (0, 1045)	0.24398411374288498
  (0, 199)	0.2520907956214559
  (0, 306)	0.31243502747293816
  (0, 42)	0.2812436932871228
  (0, 987)	0.20125823814097815
  (0, 1101)	0.2611893613227391",13,12,12,11,3,4.615384615384615,4.333333333333333,72,4,0,-1
30,"RT @nate_taplin: China is tiptoeing, not roaring, back. Hopes for a speedy recovery in the West once the epidemic peaks may also be misplacâ€¦","['rt', '@nate_taplin', ':', 'china', 'tiptoeing', ',', 'not', 'roaring', ',', 'back', '.', 'hope', 'speedy', 'recovery', 'west', 'epidemic', 'peak', 'may', 'also', 'misplacâ', '€', '¦']","  (0, 938)	0.3628827074414097
  (0, 290)	0.4501280839588384
  (0, 573)	0.43702452541484094
  (0, 163)	0.41059592712299897
  (0, 766)	0.26746163955950236
  (0, 696)	0.3657869649557567
  (0, 199)	0.3174674237147398",24,22,23,21,9,4.958333333333333,4.409090909090909,142,6,0,1
31,Jeff eeves and Charles Sizemore Discuss inkedIn Earnings on The Slant   NKD FB AMZN MWW,"['jeff', 'eeves', 'charles', 'sizemore', 'discus', 'inkedin', 'earnings', 'on', 'slant', 'nkd', 'fb', 'amzn', 'mww']","  (0, 454)	0.5354530926218194
  (0, 404)	0.44456388939374875
  (0, 762)	0.5097825887740497
  (0, 170)	0.4429265554063689
  (0, 783)	0.2441120901297373",15,13,15,13,3,4.733333333333333,4.923076923076923,87,0,0,-1
32,I think NX can be shorted under 24.70. For a full dollar roll.  ,"['think', 'nx', 'shorted', 'under', '24.70', '.', 'full', 'dollar', 'roll', '.']","  (0, 937)	0.3640528265520231
  (0, 991)	0.3966904854535626
  (0, 36)	0.3319638446862272
  (0, 772)	0.3919402815699765
  (0, 1080)	0.2801507796281288
  (0, 1126)	0.27898918462488054
  (0, 389)	0.32759408070824886
  (0, 98)	0.3078429109832522
  (0, 489)	0.29644637915221056",13,10,13,9,6,3.8461538461538463,4.0,64,3,0,-1
33,AAP 480 weekly uptrend support becoming new resistance and bear flag in the making   ,"['aap', '480', 'weekly', 'uptrend', 'support', 'becoming', 'new', 'resistance', 'bear', 'flag', 'making']","  (0, 211)	0.4023198567999193
  (0, 680)	0.35342753058537035
  (0, 210)	0.34284083548354033
  (0, 478)	0.3152297165985233
  (0, 742)	0.2578382036684267
  (0, 1131)	0.38280901863167693
  (0, 1178)	0.28134335256080834
  (0, 922)	0.30414781914333544
  (0, 1056)	0.28721969171473327
  (0, 128)	0.1707035075848327",14,11,14,11,3,4.928571428571429,5.545454545454546,85,0,1,-1
34,DISH Break out watch over 38.10  ,"['dish', 'break', 'out', 'watch', 'over', '38.10']","  (0, 1168)	0.48647765293627887
  (0, 53)	0.4109274717149
  (0, 11)	0.30807734378937274
  (0, 242)	0.4315134177609468
  (0, 821)	0.2647053181646153
  (0, 1164)	0.29031690513236136
  (0, 241)	0.3055820426476065
  (0, 823)	0.2561824175477593",6,6,6,6,2,4.333333333333333,4.333333333333333,33,1,0,1
35,Thinking NAV short. osing money and borrowing more.,"['thinking', 'nav', 'short', '.', 'osing', 'money', 'borrowing', '.']","  (0, 1081)	0.7433820744557844
  (0, 717)	0.5632243619007478
  (0, 987)	0.3607788928683469",8,8,8,7,1,5.5,4.625,51,2,0,-1
36,Oil jumps on hopes for an end to the price war between Saudi Arabia and Russia and the possibility of action from tâ€¦ https://t.co/x8Wn3hQew4,"['oil', 'jump', 'on', 'hope', 'end', 'price', 'war', 'saudi', 'arabia', 'russia', 'possibility', 'action', 'tâ', '€', '¦', 'https://t.co/x8wn3hqew4']","  (0, 941)	0.32681215395539676
  (0, 947)	0.3307730235978422
  (0, 184)	0.3307730235978422
  (0, 946)	0.30835486143412205
  (0, 578)	0.1425680489480298
  (0, 577)	0.14236969881088832
  (0, 1163)	0.32681215395539676
  (0, 779)	0.2513274819951713
  (0, 303)	0.14139070872555648
  (0, 616)	0.28664466508681985
  (0, 573)	0.2768019114612261
  (0, 421)	0.24920983113077577
  (0, 140)	0.2627676375716659
  (0, 878)	0.20805424458049443
  (0, 783)	0.12453235554299587",24,16,22,16,11,4.958333333333333,5.3125,142,5,0,1
37,XEC out half of short +.50cents,"['xec', 'out', 'half', 'short', '+', '.', '50cents']","  (0, 538)	0.7807402893399508
  (0, 821)	0.4663188181865093
  (0, 987)	0.4159223009247127",6,7,6,7,2,4.333333333333333,3.4285714285714284,31,2,0,-1
38,"user: user u call it rare, i call it unlikely ;-) only for AAP, happens with 90% of all stocks","['user', ':', 'user', 'call', 'rare', ',', 'call', 'unlikely', ';-)', 'aap', ',', 'happens', '90', '%', 'stock']","  (0, 1137)	0.3695782299303598
  (0, 1042)	0.22993061743071966
  (0, 263)	0.5785385865395783
  (0, 118)	0.3340180320018651
  (0, 541)	0.42083845990644553
  (0, 128)	0.17388083196965454
  (0, 1133)	0.39614309062379205",20,15,18,12,8,3.75,3.466666666666667,94,7,0,1
39,"In past 3 days, more money came to Yes Bank compared to withdrawals as only one-third of customers withdrew Rs 50,0… https://t.co/sIaYn77tzE","['past', '3', 'day', ',', 'money', 'came', 'yes', 'bank', 'compared', 'withdrawal', 'one-third', 'customer', 'withdrew', 'r', '50,0', '…', 'https://t.co/siayn77tze']","  (0, 578)	0.17249009199585308
  (0, 577)	0.17225011232540535
  (0, 1215)	0.3672693225247846
  (0, 1082)	0.40019534314407657
  (0, 303)	0.171065652755902
  (0, 204)	0.28443188804569924
  (0, 832)	0.3595718989952599
  (0, 717)	0.3032085041100623
  (0, 266)	0.3909947981306294
  (0, 799)	0.2544921329272784
  (0, 364)	0.20885167910934188
  (0, 73)	0.22995541582986548",22,17,21,17,7,5.409090909090909,5.705882352941177,140,8,1,1
40,"Green Weekly & Monthly Triangle on ESSX,.....Net Profit  18,664.75 (6.81%)  ","['green', 'weekly', '&', 'monthly', 'triangle', 'on', 'essx', ',', '...', 'net', 'profit', '18,664', '.', '75', '(', '6.81', '%', ')']","  (0, 740)	0.26424721964605175
  (0, 739)	0.2493625166814187
  (0, 721)	0.27068021170231216
  (0, 1180)	0.3032376665832379
  (0, 531)	0.3032376665832379
  (0, 720)	0.27068021170231216
  (0, 1179)	0.2996065214101786
  (0, 1114)	0.20457195931245767
  (0, 530)	0.2331431022504577
  (0, 719)	0.25493502786967653
  (0, 104)	0.22974839874992756
  (0, 886)	0.21326457893458192
  (0, 529)	0.205655964247609
  (0, 21)	0.23683859877561578
  (0, 1113)	0.1944823525409578
  (0, 1178)	0.1976828769944179
  (0, 783)	0.11416560062311733",10,18,10,18,1,6.4,3.4444444444444446,76,13,0,1
41,AAP does nobody watch volume? today: buys=high volume sells= low volume,"['aap', 'nobody', 'watch', 'volume', '?', 'today', ':', 'buy', '=', 'high', 'volume', 'sell', '=', 'low', 'volume']","  (0, 562)	0.36455560439838347
  (0, 1153)	0.3725549054005177
  (0, 962)	0.265190372546928
  (0, 561)	0.22184982475430753
  (0, 673)	0.2517860907356211
  (0, 1092)	0.19871920676838828
  (0, 256)	0.2270808567005162
  (0, 1164)	0.22502543003348863
  (0, 1152)	0.617597196341311
  (0, 128)	0.1491467737895006",11,15,10,12,1,5.545454545454546,3.6666666666666665,71,4,0,1
42,user: ZNGA woow look at this... Should we consider this as a bearish engulfing?  ,"['user', ':', 'znga', 'woow', 'look', '...', 'consider', 'bearish', 'engulfing', '?']","  (0, 1221)	0.5814508869635189
  (0, 212)	0.5852582162833002
  (0, 663)	0.45402784646972577
  (0, 1133)	0.33652102601812284",14,10,14,10,6,4.714285714285714,4.5,81,5,0,-1
43,CEE 5 min retest   ,"['cee', '5', 'min', 'retest']","  (0, 927)	0.6038889173474559
  (0, 277)	0.5948946993940465
  (0, 705)	0.5304888991654629",4,4,4,4,0,3.25,3.25,19,0,1,1
44,Talking headsCNBC talking the GOOG~ AAP rotation suggest max target 840 unless strong move on AAP then it will be like a teetertotter,"['talking', 'headscnbc', 'talking', 'goog', '~', 'aap', 'rotation', 'suggest', 'max', 'target', '840', 'unless', 'strong', 'move', 'on', 'aap', 'like', 'teetertotter']","  (0, 784)	0.4921842871734652
  (0, 1053)	0.37290879818870415
  (0, 725)	0.31902838430122576
  (0, 1069)	0.3495967241153588
  (0, 523)	0.314570176990988
  (0, 643)	0.2921510756194281
  (0, 128)	0.41417080170590426
  (0, 783)	0.19711056787377298",23,18,22,16,7,4.826086956521739,5.277777777777778,133,1,1,1
45,Outbreak: How coronavirus swept through JPMorganâ€™s trading floor  https://t.co/duMydNH3qy,"['outbreak', ':', 'coronavirus', 'swept', 'jpmorganâ', '€', '™', 'trading', 'floor', 'https://t.co/dumydnh3qy']","  (0, 321)	0.5018180737875038
  (0, 578)	0.3510603106902734
  (0, 577)	0.35057189227335495
  (0, 303)	0.34816122195798455
  (0, 1106)	0.6171048459952736",9,10,9,10,2,9.11111111111111,7.1,91,6,0,-1
46,AAP - didn't get the pricing we wanted but added to the short after the close,"['aap', '-', 'not', 'get', 'pricing', 'wanted', 'added', 'short', 'close']","  (0, 133)	0.5371340008732136
  (0, 144)	0.45364026953123787
  (0, 505)	0.385913120047839
  (0, 295)	0.36884147890140817
  (0, 766)	0.2974657422404075
  (0, 987)	0.28188456746284907
